id;number_of_ended_quests;psum;counts;overall;slength;last_time;traffic;acc_lifetime
20405699852966122;0;0;0;0.23305555555555554;1;1440.9155555555556;fbadsN;1441.1494444444445
2110300408998042;0;0;0;0.05694444444444444;2;843.2672222222222;fbadsN;1441.1494444444445
909289876003954;0;0;0;0.01361111111111111;1;1441.138611111111;Organic traffic;1441.1466666666668
1915720955116074;0;0;0;0.0022222222222222222;1;1441.0858333333333;fbads1;1441.0827777777777
1813325598735044;0;0;0;0.0275;1;1441.066111111111;fbadsN;1441.0825
20408125206464112;0;0;0;0.009722222222222222;1;1441.0852777777777;fbadsN;1441.0819444444444
2663890762;0;0;0;0;1;1441.0766666666666;fbadsN;1441.0630555555556
2837689396824822;0;0;0;0.7491666666666666;4;1427.6472222222221;fbadsN;1441.048888888889
1115653968697870;0;0;0;0.04638888888888889;4;1334.7369444444444;Viral traffic;1441.0480555555555
1319326661609188;0;0;0;0.015833333333333335;1;1441.0336111111112;fbadsN;1441.0480555555555
20410290984430934;0;0;0;0.011944444444444445;1;1441.0055555555555;fbads1;1441.016111111111
20304178014007180;0;0;0;0.015833333333333335;1;1440.9988888888888;fbads;1441.0155555555555
200004491544906;0;0;0;0.013055555555555556;1;1440.98;fbads;1440.9827777777778
20410828445713248;0;0;0;0.01888888888888889;1;1440.9622222222222;fbadsN;1440.9655555555555
1601653486628836;0;0;0;0.0075;1;1440.9588888888889;fbadsN;1440.9652777777778
841935162814898;0;0;0;0.005555555555555556;1;1440.9425;fbads1;1440.9327777777778
20303902236345166;0;0;0;0.04888888888888889;2;1440.831111111111;fbadsN;1440.9322222222222
1817192538348202;0;0;0;0.01138888888888889;1;1440.9119444444445;fbadsN;1440.9158333333332
1812398085550492;0;0;0;0.058888888888888886;2;847.8547222222222;fbadsN;1440.898888888889
2772788926;0;0;0;0.08222222222222222;1;1440.828611111111;fbadsN;1440.8986111111112
200013780155874;0;0;0;0.02638888888888889;1;1440.8741666666667;Viral traffic;1440.8966666666668
200010138928190;0;0;0;0.05611111111111111;2;912.0922222222222;fbadsN;1440.8483333333334
20408067336766946;0;0;0;0.01972222222222222;1;1440.8130555555556;fbadsN;1440.8325
693094891104350;0;0;0;0.02722222222222222;1;1440.7594444444444;fbadsN;1440.7825
860154600984846;0;0;0;0.021388888888888888;1;1440.7566666666667;fbadsN;1440.7655555555555
20407623409095408;0;0;0;0.008611111111111111;1;1440.7547222222222;fbads1;1440.7494444444444
1102200343399636;0;0;0;0.15;1;1440.6002777777778;fbadsN;1440.7486111111111
1564473190409686;0;0;0;0.003611111111111111;1;1440.736111111111;fbadsN;1440.7316666666666
2092027724161212;0;0;0;0.025;1;1440.5930555555556;fbadsN;1440.6161111111112
1172437120;0;0;0;0.016666666666666666;1;1440.6022222222223;fbadsN;1440.6161111111112
1931538013562932;0;0;0;0.04416666666666667;1;1440.581111111111;fbadsN;1440.6155555555556
200002054098090;0;0;0;0.005833333333333334;1;1440.6091666666666;fbads;1440.6152777777777
200015867780746;0;0;0;0.0033333333333333335;1;1440.6077777777778;fbads;1440.598611111111
20406879537314282;0;0;0;0.008055555555555555;1;1440.5611111111111;fbadsN;1440.5658333333333
20306218638914756;0;0;0;0.04138888888888889;1;1440.5280555555555;fbadsN;1440.5655555555556
1809482799181486;0;0;0;0.014166666666666666;1;1440.545;fbadsN;1440.5491666666667
1707711149349250;0;0;0;0.044444444444444446;2;1440.4666666666667;fbadsN;1440.5325
1864083120321358;0;0;0;0.008055555555555555;1;1440.5086111111111;fbadsN;1440.516111111111
20405346825032104;0;0;0;0.04083333333333333;1;1440.4755555555555;fbads;1440.5158333333334
3117330142;0;0;0;0.050555555555555555;1;1440.4588888888889;fbads;1440.4994444444444
3592393361212588;0;0;0;0.0019444444444444444;1;1440.5013888888889;fbadsN;1440.4991666666667
2495166728;0;0;0;0.002777777777777778;1;1440.435;fbads;1440.4325
1171473969735604;0;0;0;0.03305555555555555;1;1440.4077777777777;fbadsN;1440.4322222222222
20404985473436952;0;0;0;0.016666666666666666;1;1440.4194444444445;fbadsN;1440.4319444444445
200015230476502;0;0;0;0.06833333333333333;1;1440.3675;Viral traffic;1440.4319444444445
1573350542813676;0;0;0;0.011944444444444445;1;1440.4047222222223;fbadsN;1440.4161111111111
1818187744951812;0;0;0;0.01972222222222222;1;1440.3983333333333;fbads1;1440.4161111111111
2061455487216446;0;0;0;0.2461111111111111;1;1440.1644444444444;fbadsN;1440.398888888889
3195540600878098;0;0;0;0.0044444444444444444;1;1440.3633333333332;fbadsN;1440.3663888888889
3088558658310488;0;0;0;0.0025;1;1440.3647222222223;fbads1;1440.3661111111112
2919491578;0;0;0;0.008888888888888889;1;1440.3366666666666;fbads;1440.3325
2755569286;0;0;0;0.01;2;1363.8344444444444;fbads;1440.3322222222223
3150282418815372;0;0;0;0.011666666666666667;1;1440.3125;fbadsN;1440.316111111111
1548754991956666;0;0;0;0.0025;1;1440.2725;fbadsN;1440.266111111111
200008141311804;0;0;0;0.0008333333333333334;2;1373.9108333333334;fbads;1440.2494444444444
